,CO
2015-01-01 01:00:00,0.581
2015-01-01 02:00:00,0.678
2015-01-01 03:00:00.005000,0.686
2015-01-01 04:00:00.010000,0.653
2015-01-01 05:00:00.015000,0.627
2015-01-01 06:00:00.020000,0.609
2015-01-01 07:00:00.025000,0.589
2015-01-01 08:00:00.030000,0.559
2015-01-01 09:00:00.035000,0.559
2015-01-01 10:00:00.040000,0.564
2015-01-01 11:00:00.045000,0.571
2015-01-01 12:00:00.050000,0.569
2015-01-01 13:00:00.055000,0.557
2015-01-01 14:00:00.060000,0.551
2015-01-01 15:00:00.065000,0.547
2015-01-01 16:00:00.070000,0.581
2015-01-01 17:00:00.075000,0.682
2015-01-01 18:00:00.080000,0.999
2015-01-01 19:00:00.085000,1.129
2015-01-01 20:00:00.090000,0.781
2015-01-01 21:00:00.095000,0.997
2015-01-01 22:00:00.100000,0.853
2015-01-01 23:00:00.105000,0.785
2015-01-02 00:00:00.110000,0.769
2015-01-02 01:00:00.115000,0.759
2015-01-02 02:00:00.120000,0.717
2015-01-02 03:00:00.125000,0.636
2015-01-02 04:00:00.130000,0.5840000000000001
2015-01-02 05:00:00.135000,0.532
2015-01-02 06:00:00.140000,0.538
2015-01-02 07:00:00.145000,0.532
2015-01-02 08:00:00.150000,0.586
2015-01-02 09:00:00.155000,0.599
2015-01-02 10:00:00.160000,0.536
2015-01-02 11:00:00.165000,0.51
2015-01-02 12:00:00.170000,0.55
2015-01-02 13:00:00.175000,0.583
2015-01-02 14:00:00.180000,0.572
2015-01-02 15:00:00.185000,0.563
2015-01-02 16:00:00.190000,0.468
2015-01-02 17:00:00.195000,0.454
2015-01-02 18:00:00.200000,0.447
2015-01-02 19:00:00.205000,0.449
2015-01-02 20:00:00.210000,0.448
2015-01-02 21:00:00.215000,0.45
2015-01-02 22:00:00.220000,0.433
2015-01-02 23:00:00.225000,0.425
2015-01-03 00:00:00.230000,0.414
2015-01-03 01:00:00.235000,0.398
2015-01-03 02:00:00.240000,0.382
2015-01-03 03:00:00.245000,0.377
2015-01-03 04:00:00.250000,0.375
2015-01-03 05:00:00.255000,0.372
2015-01-03 06:00:00.260000,0.372
2015-01-03 07:00:00.265000,0.375
2015-01-03 08:00:00.270000,0.376
2015-01-03 09:00:00.275000,0.384
2015-01-03 10:00:00.280000,0.4
2015-01-03 11:00:00.285000,0.412
2015-01-03 12:00:00.290000,0.434
2015-01-03 13:00:00.295000,0.468
2015-01-03 14:00:00.300000,0.44
2015-01-03 15:00:00.305000,0.455
2015-01-03 16:00:00.310000,0.43
2015-01-03 17:00:00.315000,0.48
2015-01-03 18:00:00.320000,0.476
2015-01-03 19:00:00.325000,0.462
2015-01-03 20:00:00.330000,0.444
2015-01-03 21:00:00.335000,0.46
2015-01-03 22:00:00.340000,0.449
2015-01-03 23:00:00.345000,0.438
2015-01-04 00:00:00.350000,0.443
2015-01-04 01:00:00.355000,0.462
2015-01-04 02:00:00.360000,0.465
2015-01-04 03:00:00.365000,0.462
2015-01-04 04:00:00.370000,0.453
2015-01-04 05:00:00.375000,0.441
2015-01-04 06:00:00.380000,0.424
2015-01-04 07:00:00.385000,0.408
2015-01-04 08:00:00.390000,0.4
2015-01-04 09:00:00.395000,0.401
2015-01-04 10:00:00.400000,0.405
2015-01-04 11:00:00.405000,0.396
2015-01-04 12:00:00.410000,0.398
2015-01-04 13:00:00.415000,0.398
2015-01-04 14:00:00.420000,0.397
2015-01-04 15:00:00.425000,0.401
2015-01-04 16:00:00.430000,0.4
2015-01-04 17:00:00.435000,0.41
2015-01-04 18:00:00.440000,0.431
2015-01-04 19:00:00.445000,0.439
2015-01-04 20:00:00.450000,0.429
2015-01-04 21:00:00.455000,0.423
2015-01-04 22:00:00.460000,0.418
2015-01-04 23:00:00.465000,0.416
2015-01-05 00:00:00.470000,0.412
2015-01-05 01:00:00.475000,0.413
2015-01-05 02:00:00.480000,0.407
2015-01-05 03:00:00.485000,0.418
2015-01-05 04:00:00.490000,0.415
2015-01-05 05:00:00.495000,0.414
2015-01-05 06:00:00.500000,0.435
2015-01-05 07:00:00.505000,0.435
2015-01-05 08:00:00.510000,0.489
2015-01-05 09:00:00.515000,0.514
2015-01-05 10:00:00.520000,0.531
2015-01-05 11:00:00.525000,0.46
2015-01-05 12:00:00.530000,0.403
2015-01-05 13:00:00.535000,0.42
2015-01-05 14:00:00.540000,0.452
2015-01-05 15:00:00.545000,0.449
2015-01-05 16:00:00.550000,0.545
2015-01-05 17:00:00.555000,0.474
2015-01-05 18:00:00.560000,0.411
2015-01-05 19:00:00.565000,0.391
2015-01-05 20:00:00.570000,0.425
2015-01-05 21:00:00.575000,0.43
2015-01-05 22:00:00.580000,0.445
2015-01-05 23:00:00.585000,0.423
2015-01-06 00:00:00.590000,0.395
2015-01-06 01:00:00.595000,0.407
2015-01-06 02:00:00.600000,0.496
2015-01-06 03:00:00.605000,0.419
2015-01-06 04:00:00.610000,0.4
2015-01-06 05:00:00.615000,0.449
2015-01-06 06:00:00.620000,0.376
2015-01-06 07:00:00.625000,0.38
2015-01-06 08:00:00.630000,0.385
2015-01-06 09:00:00.635000,0.389
2015-01-06 10:00:00.640000,0.392
2015-01-06 11:00:00.645000,0.433
2015-01-06 12:00:00.650000,0.41
2015-01-06 13:00:00.655000,0.435
2015-01-06 14:00:00.660000,0.464
2015-01-06 15:00:00.665000,0.523
2015-01-06 16:00:00.670000,0.594
2015-01-06 17:00:00.675000,0.718
2015-01-06 18:00:00.680000,0.846
2015-01-06 19:00:00.685000,0.788
2015-01-06 20:00:00.690000,0.646
2015-01-06 21:00:00.695000,0.577
2015-01-06 22:00:00.700000,0.579
2015-01-06 23:00:00.705000,0.572
2015-01-07 00:00:00.710000,0.614
2015-01-07 01:00:00.715000,0.704
2015-01-07 02:00:00.720000,0.633
2015-01-07 03:00:00.725000,0.62
2015-01-07 04:00:00.730000,0.615
2015-01-07 05:00:00.735000,0.672
2015-01-07 06:00:00.740000,0.87
2015-01-07 07:00:00.745000,1.035
2015-01-07 08:00:00.750000,1.037
2015-01-07 09:00:00.755000,0.875
2015-01-07 10:00:00.760000,1.017
2015-01-07 11:00:00.765000,1.114
2015-01-07 12:00:00.770000,1.002
2015-01-07 13:00:00.775000,0.681
2015-01-07 14:00:00.780000,0.52
2015-01-07 15:00:00.785000,0.469
2015-01-07 16:00:00.790000,0.513
2015-01-07 17:00:00.795000,0.767
2015-01-07 18:00:00.800000,0.568
2015-01-07 19:00:00.805000,0.589
2015-01-07 20:00:00.810000,0.584
2015-01-07 21:00:00.815000,0.622
2015-01-07 22:00:00.820000,0.582
2015-01-07 23:00:00.825000,0.56
2015-01-08 00:00:00.830000,0.529
2015-01-08 01:00:00.835000,0.49
2015-01-08 02:00:00.840000,0.487
2015-01-08 03:00:00.845000,0.445
2015-01-08 04:00:00.850000,0.413
2015-01-08 05:00:00.855000,0.428
2015-01-08 06:00:00.860000,0.459
2015-01-08 07:00:00.865000,0.623
2015-01-08 08:00:00.870000,0.854
2015-01-08 09:00:00.875000,0.76
2015-01-08 10:00:00.880000,0.753
2015-01-08 11:00:00.885000,0.6955
2015-01-08 12:00:00.890000,0.638
2015-01-08 13:00:00.895000,0.561
2015-01-08 14:00:00.900000,0.487
2015-01-08 15:00:00.905000,0.544
2015-01-08 16:00:00.910000,0.609
2015-01-08 17:00:00.915000,0.655
2015-01-08 18:00:00.920000,0.728
2015-01-08 19:00:00.925000,0.714
2015-01-08 20:00:00.930000,0.708
2015-01-08 21:00:00.935000,0.586
2015-01-08 22:00:00.940000,0.458
2015-01-08 23:00:00.945000,0.347
2015-01-09 00:00:00.950000,0.347
2015-01-09 01:00:00.955000,0.353
2015-01-09 02:00:00.960000,0.325
2015-01-09 03:00:00.965000,0.28
2015-01-09 04:00:00.970000,0.235
2015-01-09 05:00:00.975000,0.219
2015-01-09 06:00:00.980000,0.228
2015-01-09 07:00:00.985000,0.255
2015-01-09 08:00:00.990000,0.325
2015-01-09 09:00:00.995000,0.386
2015-01-09 10:00:01,0.341
2015-01-09 11:00:01.005000,0.358
2015-01-09 12:00:01.010000,0.335
2015-01-09 13:00:01.015000,0.289
2015-01-09 14:00:01.020000,0.314
2015-01-09 15:00:01.025000,0.341
2015-01-09 16:00:01.030000,0.353
2015-01-09 17:00:01.035000,0.281
2015-01-09 18:00:01.040000,0.271
2015-01-09 19:00:01.045000,0.26
2015-01-09 20:00:01.050000,0.29
2015-01-09 21:00:01.055000,0.271
2015-01-09 22:00:01.060000,0.285
2015-01-09 23:00:01.065000,0.301
2015-01-10 00:00:01.070000,0.248
2015-01-10 01:00:01.075000,0.248
2015-01-10 02:00:01.080000,0.299
2015-01-10 03:00:01.085000,0.26
2015-01-10 04:00:01.090000,0.249
2015-01-10 05:00:01.095000,0.256
2015-01-10 06:00:01.100000,0.265
2015-01-10 07:00:01.105000,0.305
2015-01-10 08:00:01.110000,0.403
2015-01-10 09:00:01.115000,0.475
2015-01-10 10:00:01.120000,0.484
2015-01-10 11:00:01.125000,0.414
2015-01-10 12:00:01.130000,0.335
2015-01-10 13:00:01.135000,0.333
2015-01-10 14:00:01.140000,0.314
2015-01-10 15:00:01.145000,0.302
2015-01-10 16:00:01.150000,0.303
2015-01-10 17:00:01.155000,0.284
2015-01-10 18:00:01.160000,0.276
2015-01-10 19:00:01.165000,0.277
2015-01-10 20:00:01.170000,0.274
2015-01-10 21:00:01.175000,0.266
2015-01-10 22:00:01.180000,0.243
2015-01-10 23:00:01.185000,0.24
2015-01-11 00:00:01.190000,0.232
2015-01-11 01:00:01.195000,0.227
2015-01-11 02:00:01.200000,0.227
2015-01-11 03:00:01.205000,0.231
2015-01-11 04:00:01.210000,0.234
2015-01-11 05:00:01.215000,0.231
2015-01-11 06:00:01.220000,0.232
2015-01-11 07:00:01.225000,0.24
2015-01-11 08:00:01.230000,0.239
2015-01-11 09:00:01.235000,0.244
2015-01-11 10:00:01.240000,0.259
2015-01-11 11:00:01.245000,0.256
2015-01-11 12:00:01.250000,0.259
2015-01-11 13:00:01.255000,0.259
2015-01-11 14:00:01.260000,0.257
2015-01-11 15:00:01.265000,0.27
2015-01-11 16:00:01.270000,0.282
2015-01-11 17:00:01.275000,0.284
2015-01-11 18:00:01.280000,0.284
2015-01-11 19:00:01.285000,0.284
2015-01-11 20:00:01.290000,0.295
2015-01-11 21:00:01.295000,0.282
2015-01-11 22:00:01.300000,0.279
2015-01-11 23:00:01.305000,0.273
2015-01-12 00:00:01.310000,0.27
2015-01-12 01:00:01.315000,0.272
2015-01-12 02:00:01.320000,0.276
2015-01-12 03:00:01.325000,0.275
2015-01-12 04:00:01.330000,0.279
2015-01-12 05:00:01.335000,0.286
2015-01-12 06:00:01.340000,0.296
2015-01-12 07:00:01.345000,0.324
2015-01-12 08:00:01.350000,0.358
2015-01-12 09:00:01.355000,0.364
2015-01-12 10:00:01.360000,0.346
2015-01-12 11:00:01.365000,0.354
2015-01-12 12:00:01.370000,0.382
2015-01-12 13:00:01.375000,0.399
2015-01-12 14:00:01.380000,0.425
2015-01-12 15:00:01.385000,0.408
2015-01-12 16:00:01.390000,0.436
2015-01-12 17:00:01.395000,0.406
2015-01-12 18:00:01.400000,0.384
2015-01-12 19:00:01.405000,0.365
2015-01-12 20:00:01.410000,0.361
2015-01-12 21:00:01.415000,0.356
2015-01-12 22:00:01.420000,0.344
2015-01-12 23:00:01.425000,0.332
2015-01-13 00:00:01.430000,0.327
2015-01-13 01:00:01.435000,0.32
2015-01-13 02:00:01.440000,0.317
2015-01-13 03:00:01.445000,0.321
2015-01-13 04:00:01.450000,0.313
2015-01-13 05:00:01.455000,0.311
2015-01-13 06:00:01.460000,0.321
2015-01-13 07:00:01.465000,0.308
2015-01-13 08:00:01.470000,0.337
2015-01-13 09:00:01.475000,0.331
2015-01-13 10:00:01.480000,0.339
2015-01-13 11:00:01.485000,0.288
2015-01-13 12:00:01.490000,0.278
2015-01-13 13:00:01.495000,0.282
2015-01-13 14:00:01.500000,0.281
2015-01-13 15:00:01.505000,0.305
2015-01-13 16:00:01.510000,0.33
2015-01-13 17:00:01.515000,0.381
2015-01-13 18:00:01.520000,0.425
2015-01-13 19:00:01.525000,0.388
2015-01-13 20:00:01.530000,0.376
2015-01-13 21:00:01.535000,0.34
2015-01-13 22:00:01.540000,0.339
2015-01-13 23:00:01.545000,0.375
2015-01-14 00:00:01.550000,0.358
2015-01-14 01:00:01.555000,0.312
2015-01-14 02:00:01.560000,0.292
2015-01-14 03:00:01.565000,0.295
2015-01-14 04:00:01.570000,0.304
2015-01-14 05:00:01.575000,0.37
2015-01-14 06:00:01.580000,0.337
2015-01-14 07:00:01.585000,0.347
2015-01-14 08:00:01.590000,0.41
2015-01-14 09:00:01.595000,0.392
2015-01-14 10:00:01.600000,0.373
2015-01-14 11:00:01.605000,0.355
2015-01-14 12:00:01.610000,0.337
2015-01-14 13:00:01.615000,0.315
2015-01-14 14:00:01.620000,0.296
2015-01-14 15:00:01.625000,0.337
2015-01-14 16:00:01.630000,0.369
2015-01-14 17:00:01.635000,0.447
2015-01-14 18:00:01.640000,0.43
2015-01-14 19:00:01.645000,0.463
2015-01-14 20:00:01.650000,0.766
2015-01-14 21:00:01.655000,0.431
2015-01-14 22:00:01.660000,0.434
2015-01-14 23:00:01.665000,0.456
2015-01-15 00:00:01.670000,0.318
2015-01-15 01:00:01.675000,0.315
2015-01-15 02:00:01.680000,0.288
2015-01-15 03:00:01.685000,0.284
2015-01-15 04:00:01.690000,0.284
2015-01-15 05:00:01.695000,0.274
2015-01-15 06:00:01.700000,0.293
2015-01-15 07:00:01.705000,0.413
2015-01-15 08:00:01.710000,0.589
2015-01-15 09:00:01.715000,0.566
2015-01-15 10:00:01.720000,0.461
2015-01-15 11:00:01.725000,0.41
2015-01-15 12:00:01.730000,0.418
2015-01-15 13:00:01.735000,0.368
2015-01-15 14:00:01.740000,0.367
2015-01-15 15:00:01.745000,0.42
2015-01-15 16:00:01.750000,0.526
2015-01-15 17:00:01.755000,0.544
2015-01-15 18:00:01.760000,0.563
2015-01-15 19:00:01.765000,0.573
2015-01-15 20:00:01.770000,0.623
2015-01-15 21:00:01.775000,0.501
2015-01-15 22:00:01.780000,0.608
2015-01-15 23:00:01.785000,0.442
2015-01-16 00:00:01.790000,0.428
2015-01-16 01:00:01.795000,0.424
2015-01-16 02:00:01.800000,0.422
2015-01-16 03:00:01.805000,0.4
2015-01-16 04:00:01.810000,0.391
2015-01-16 05:00:01.815000,0.428
2015-01-16 06:00:01.820000,0.454
2015-01-16 07:00:01.825000,0.489
2015-01-16 08:00:01.830000,0.564
2015-01-16 09:00:01.835000,0.596
2015-01-16 10:00:01.840000,0.609
2015-01-16 11:00:01.845000,0.562
2015-01-16 12:00:01.850000,0.515
2015-01-16 13:00:01.855000,0.505
2015-01-16 14:00:01.860000,0.493
2015-01-16 15:00:01.865000,0.498
2015-01-16 16:00:01.870000,0.623
2015-01-16 17:00:01.875000,0.925
2015-01-16 18:00:01.880000,1.348
2015-01-16 19:00:01.885000,1.67
2015-01-16 20:00:01.890000,1.562
2015-01-16 21:00:01.895000,1.275
2015-01-16 22:00:01.900000,1.349
2015-01-16 23:00:01.905000,1.413
2015-01-17 00:00:01.910000,1.054
2015-01-17 01:00:01.915000,0.876
2015-01-17 02:00:01.920000,0.727
2015-01-17 03:00:01.925000,0.741
2015-01-17 04:00:01.930000,0.677
2015-01-17 05:00:01.935000,0.675
2015-01-17 06:00:01.940000,0.85
2015-01-17 07:00:01.945000,0.775
2015-01-17 08:00:01.950000,0.747
2015-01-17 09:00:01.955000,0.715
2015-01-17 10:00:01.960000,0.603
2015-01-17 11:00:01.965000,0.546
2015-01-17 12:00:01.970000,0.555
2015-01-17 13:00:01.975000,0.539
2015-01-17 14:00:01.980000,0.523
2015-01-17 15:00:01.985000,0.464
2015-01-17 16:00:01.990000,0.477
2015-01-17 17:00:01.995000,0.567
2015-01-17 18:00:02,0.694
2015-01-17 19:00:02.005000,0.798
2015-01-17 20:00:02.010000,0.737
2015-01-17 21:00:02.015000,0.795
2015-01-17 22:00:02.020000,0.845
2015-01-17 23:00:02.025000,0.866
2015-01-18 00:00:02.030000,0.944
2015-01-18 01:00:02.035000,0.834
2015-01-18 02:00:02.040000,0.9
2015-01-18 03:00:02.045000,0.837
2015-01-18 04:00:02.050000,0.624
2015-01-18 05:00:02.055000,0.57
2015-01-18 06:00:02.060000,0.54
2015-01-18 07:00:02.065000,0.584
2015-01-18 08:00:02.070000,0.648
2015-01-18 09:00:02.075000,0.667
2015-01-18 10:00:02.080000,0.706
2015-01-18 11:00:02.085000,0.789
2015-01-18 12:00:02.090000,0.765
2015-01-18 13:00:02.095000,0.641
2015-01-18 14:00:02.100000,0.528
2015-01-18 15:00:02.105000,0.564
2015-01-18 16:00:02.110000,0.535
2015-01-18 17:00:02.115000,0.714
2015-01-18 18:00:02.120000,0.811
2015-01-18 19:00:02.125000,0.795
2015-01-18 20:00:02.130000,0.807
2015-01-18 21:00:02.135000,0.883
2015-01-18 22:00:02.140000,0.826
2015-01-18 23:00:02.145000,0.697
2015-01-19 00:00:02.150000,0.671
2015-01-19 01:00:02.155000,0.621
2015-01-19 02:00:02.160000,0.592
2015-01-19 03:00:02.165000,0.649
2015-01-19 04:00:02.170000,0.658
2015-01-19 05:00:02.175000,0.588
2015-01-19 06:00:02.180000,0.589
2015-01-19 07:00:02.185000,0.637
2015-01-19 08:00:02.190000,0.686
2015-01-19 09:00:02.195000,0.577
2015-01-19 10:00:02.200000,0.574
2015-01-19 11:00:02.205000,0.562
2015-01-19 12:00:02.210000,0.607
2015-01-19 13:00:02.215000,0.602
2015-01-19 14:00:02.220000,0.6
2015-01-19 15:00:02.225000,0.621
2015-01-19 16:00:02.230000,0.637
2015-01-19 17:00:02.235000,0.656
2015-01-19 18:00:02.240000,0.722
2015-01-19 19:00:02.245000,0.723
2015-01-19 20:00:02.250000,0.71
2015-01-19 21:00:02.255000,0.786
2015-01-19 22:00:02.260000,0.8
2015-01-19 23:00:02.265000,0.789
2015-01-20 00:00:02.270000,0.827
2015-01-20 01:00:02.275000,0.787
2015-01-20 02:00:02.280000,0.788
2015-01-20 03:00:02.285000,0.8
2015-01-20 04:00:02.290000,0.799
2015-01-20 05:00:02.295000,0.81
2015-01-20 06:00:02.300000,0.83
2015-01-20 07:00:02.305000,0.909
2015-01-20 08:00:02.310000,0.986
2015-01-20 09:00:02.315000,1.129
2015-01-20 10:00:02.320000,1.108
2015-01-20 11:00:02.325000,0.978
2015-01-20 12:00:02.330000,0.896
2015-01-20 13:00:02.335000,0.883
2015-01-20 14:00:02.340000,0.894
2015-01-20 15:00:02.345000,0.907
2015-01-20 16:00:02.350000,0.964
2015-01-20 17:00:02.355000,0.95
2015-01-20 18:00:02.360000,0.961
2015-01-20 19:00:02.365000,1.081
2015-01-20 20:00:02.370000,1.256
2015-01-20 21:00:02.375000,1.224
2015-01-20 22:00:02.380000,1.379
2015-01-20 23:00:02.385000,1.269
2015-01-21 00:00:02.390000,1.204
2015-01-21 01:00:02.395000,1.159
2015-01-21 02:00:02.400000,1.193
2015-01-21 03:00:02.405000,1.112
2015-01-21 04:00:02.410000,1.129
2015-01-21 05:00:02.415000,1.066
2015-01-21 06:00:02.420000,0.973
2015-01-21 07:00:02.425000,0.892
2015-01-21 08:00:02.430000,0.884
2015-01-21 09:00:02.435000,0.77
2015-01-21 10:00:02.440000,0.696
2015-01-21 11:00:02.445000,0.637
2015-01-21 12:00:02.450000,0.643
