,O3
2015-01-01 01:00:00,13.4613
2015-01-01 02:00:00,11.4509
2015-01-01 03:00:00.005000,9.26878
2015-01-01 04:00:00.010000,10.1581
2015-01-01 05:00:00.015000,11.9831
2015-01-01 06:00:00.020000,14.8515
2015-01-01 07:00:00.025000,16.2943
2015-01-01 08:00:00.030000,18.5742
2015-01-01 09:00:00.035000,17.4417
2015-01-01 10:00:00.040000,17.778
2015-01-01 11:00:00.045000,20.122
2015-01-01 12:00:00.050000,23.6321
2015-01-01 13:00:00.055000,26.8295
2015-01-01 14:00:00.060000,31.082
2015-01-01 15:00:00.065000,32.7554
2015-01-01 16:00:00.070000,28.8262
2015-01-01 17:00:00.075000,18.8287
2015-01-01 18:00:00.080000,6.29984
2015-01-01 19:00:00.085000,6.8768
2015-01-01 20:00:00.090000,21.256
2015-01-01 21:00:00.095000,11.0955
2015-01-01 22:00:00.100000,15.7027
2015-01-01 23:00:00.105000,23.0548
2015-01-02 00:00:00.110000,24.3392
2015-01-02 01:00:00.115000,21.1114
2015-01-02 02:00:00.120000,23.7862
2015-01-02 03:00:00.125000,17.7693
2015-01-02 04:00:00.130000,22.28165
2015-01-02 05:00:00.135000,26.794
2015-01-02 06:00:00.140000,24.7562
2015-01-02 07:00:00.145000,20.4106
2015-01-02 08:00:00.150000,15.1302
2015-01-02 09:00:00.155000,15.0459
2015-01-02 10:00:00.160000,27.0257
2015-01-02 11:00:00.165000,30.8509
2015-01-02 12:00:00.170000,32.2507
2015-01-02 13:00:00.175000,30.4223
2015-01-02 14:00:00.180000,27.7345
2015-01-02 15:00:00.185000,27.1762
2015-01-02 16:00:00.190000,44.1766
2015-01-02 17:00:00.195000,45.0959
2015-01-02 18:00:00.200000,46.4686
2015-01-02 19:00:00.205000,47.2442
2015-01-02 20:00:00.210000,45.625
2015-01-02 21:00:00.215000,44.9433
2015-01-02 22:00:00.220000,49.3485
2015-01-02 23:00:00.225000,50.6012
2015-01-03 00:00:00.230000,51.1915
2015-01-03 01:00:00.235000,55.0164
2015-01-03 02:00:00.240000,58.5588
2015-01-03 03:00:00.245000,58.9809
2015-01-03 04:00:00.250000,58.9741
2015-01-03 05:00:00.255000,60.7545
2015-01-03 06:00:00.260000,62.0396
2015-01-03 07:00:00.265000,61.2227
2015-01-03 08:00:00.270000,61.642
2015-01-03 09:00:00.275000,62.3949
2015-01-03 10:00:00.280000,61.402
2015-01-03 11:00:00.285000,59.3003
2015-01-03 12:00:00.290000,57.1489
2015-01-03 13:00:00.295000,53.7759
2015-01-03 14:00:00.300000,60.2365
2015-01-03 15:00:00.305000,54.9942
2015-01-03 16:00:00.310000,61.3557
2015-01-03 17:00:00.315000,52.1699
2015-01-03 18:00:00.320000,52.3618
2015-01-03 19:00:00.325000,53.7378
2015-01-03 20:00:00.330000,57.3954
2015-01-03 21:00:00.335000,57.8267
2015-01-03 22:00:00.340000,63.8963
2015-01-03 23:00:00.345000,61.8334
2015-01-04 00:00:00.350000,57.63
2015-01-04 01:00:00.355000,51.9152
2015-01-04 02:00:00.360000,47.4255
2015-01-04 03:00:00.365000,45.1435
2015-01-04 04:00:00.370000,44.7005
2015-01-04 05:00:00.375000,47.4321
2015-01-04 06:00:00.380000,53.5565
2015-01-04 07:00:00.385000,60.5974
2015-01-04 08:00:00.390000,63.1409
2015-01-04 09:00:00.395000,62.525
2015-01-04 10:00:00.400000,62.5641
2015-01-04 11:00:00.405000,65.7524
2015-01-04 12:00:00.410000,66.1549
2015-01-04 13:00:00.415000,66.9445
2015-01-04 14:00:00.420000,67.6049
2015-01-04 15:00:00.425000,67.4882
2015-01-04 16:00:00.430000,68.9014
2015-01-04 17:00:00.435000,66.747
2015-01-04 18:00:00.440000,62.1804
