,PM25
2017-01-01 01:00:00,100.623
2017-01-01 02:00:00,94.2191
2017-01-01 03:00:00,59.5
2017-01-01 04:00:00,50.7744
2017-01-01 05:00:00,58.2
2017-01-01 06:00:00,53.6203
2017-01-01 07:00:00,48.5
2017-01-01 08:00:00,40.3998
2017-01-01 09:00:00,41.3735
2017-01-01 10:00:00,45.1
2017-01-01 11:00:00,57.2
2017-01-01 12:00:00,53.8776
2017-01-01 13:00:00,51.8493
2017-01-01 14:00:00,32.8766
2017-01-01 15:00:00,31.5287
2017-01-01 16:00:00,35.8248
2017-01-01 17:00:00,44.973
2017-01-01 18:00:00,50.2887
2017-01-01 19:00:00,56.9069
2017-01-01 20:00:00,58.462
2017-01-01 21:00:00,52.5777
2017-01-01 22:00:00,53.8006
2017-01-01 23:00:00,55.4412
2017-01-02 00:00:00,56.7688
2017-01-02 01:00:00,64.9226
2017-01-02 02:00:00,62.0
2017-01-02 03:00:00,61.6
2017-01-02 04:00:00,26.8744
2017-01-02 05:00:00,29.4102
2017-01-02 06:00:00,26.9625
2017-01-02 07:00:00,31.389
2017-01-02 08:00:00,31.8766
2017-01-02 09:00:00,32.15626666666667
2017-01-02 10:00:00,32.43593333333334
2017-01-02 11:00:00,32.7156
2017-01-02 12:00:00,31.3414
2017-01-02 13:00:00,29.104
2017-01-02 14:00:00,30.7852
2017-01-02 15:00:00,29.9164
2017-01-02 16:00:00,26.3
2017-01-02 17:00:00,18.9
2017-01-02 18:00:00,21.2
2017-01-02 19:00:00,20.0279
2017-01-02 20:00:00,19.91075
2017-01-02 21:00:00,19.7936
2017-01-02 22:00:00,14.3677
2017-01-02 23:00:00,15.7651
2017-01-03 00:00:00,20.9415
2017-01-03 01:00:00,16.1
2017-01-03 02:00:00,21.1
2017-01-03 03:00:00,16.7
2017-01-03 04:00:00,14.4903
2017-01-03 05:00:00,17.3933
2017-01-03 06:00:00,19.7
2017-01-03 07:00:00,14.2328
2017-01-03 08:00:00,11.894
2017-01-03 09:00:00,15.9865
2017-01-03 10:00:00,18.3625
2017-01-03 11:00:00,16.5154
2017-01-03 12:00:00,17.0056
2017-01-03 13:00:00,16.2786
2017-01-03 14:00:00,19.0412
2017-01-03 15:00:00,19.5597
2017-01-03 16:00:00,14.8654
2017-01-03 17:00:00,13.7522
2017-01-03 18:00:00,12.7149
2017-01-03 19:00:00,13.3531
2017-01-03 20:00:00,8.70056
2017-01-03 21:00:00,8.35659
2017-01-03 22:00:00,10.3
2017-01-03 23:00:00,8.8
2017-01-04 00:00:00,11.5
2017-01-04 01:00:00,10.4
2017-01-04 02:00:00,9.29838
2017-01-04 03:00:00,6.42074
2017-01-04 04:00:00,8.18894
2017-01-04 05:00:00,8.16515
2017-01-04 06:00:00,9.57459
2017-01-04 07:00:00,8.43333
2017-01-04 08:00:00,10.4212
2017-01-04 09:00:00,15.2677
2017-01-04 10:00:00,10.5623
2017-01-04 11:00:00,8.23106
2017-01-04 12:00:00,10.4577
2017-01-04 13:00:00,11.6558
2017-01-04 14:00:00,13.9392
2017-01-04 15:00:00,12.9996
2017-01-04 16:00:00,11.4077
2017-01-04 17:00:00,9.09904
2017-01-04 18:00:00,9.28299
2017-01-04 19:00:00,12.3136
2017-01-04 20:00:00,11.9122
2017-01-04 21:00:00,11.8472
2017-01-04 22:00:00,10.4798
2017-01-04 23:00:00,10.109
2017-01-05 00:00:00,11.5716
2017-01-05 01:00:00,9.2231
2017-01-05 02:00:00,11.0
2017-01-05 03:00:00,11.1235
2017-01-05 04:00:00,9.78002
2017-01-05 05:00:00,8.22173
2017-01-05 06:00:00,9.12897
2017-01-05 07:00:00,8.4291
2017-01-05 08:00:00,7.6296
2017-01-05 09:00:00,11.3644
2017-01-05 10:00:00,11.8522
2017-01-05 11:00:00,12.7187
2017-01-05 12:00:00,13.5477
2017-01-05 13:00:00,13.1383
2017-01-05 14:00:00,11.0722
2017-01-05 15:00:00,13.2126
2017-01-05 16:00:00,16.9598
2017-01-05 17:00:00,14.231
2017-01-05 18:00:00,14.0467
2017-01-05 19:00:00,13.3216
2017-01-05 20:00:00,16.7841
2017-01-05 21:00:00,11.7585
2017-01-05 22:00:00,12.022
2017-01-05 23:00:00,12.7092
2017-01-06 00:00:00,15.0729
2017-01-06 01:00:00,15.6
2017-01-06 02:00:00,17.4184
2017-01-06 03:00:00,14.665
2017-01-06 04:00:00,13.2845
2017-01-06 05:00:00,12.0058
2017-01-06 06:00:00,10.6843
2017-01-06 07:00:00,13.8737
2017-01-06 08:00:00,14.3018
2017-01-06 09:00:00,13.333
2017-01-06 10:00:00,14.8896
2017-01-06 11:00:00,15.3711
2017-01-06 12:00:00,13.6268
2017-01-06 13:00:00,14.5166
2017-01-06 14:00:00,16.894
2017-01-06 15:00:00,18.5799
2017-01-06 16:00:00,17.4697
2017-01-06 17:00:00,16.6644
2017-01-06 18:00:00,14.8881
2017-01-06 19:00:00,22.2434
2017-01-06 20:00:00,31.394
2017-01-06 21:00:00,44.0797
2017-01-06 22:00:00,26.6274
2017-01-06 23:00:00,25.5632
2017-01-07 00:00:00,36.638
2017-01-07 01:00:00,32.1789
2017-01-07 02:00:00,43.4549
2017-01-07 03:00:00,37.5087
2017-01-07 04:00:00,49.972
2017-01-07 05:00:00,50.1976
2017-01-07 06:00:00,54.8536
2017-01-07 07:00:00,51.7612
2017-01-07 08:00:00,60.4833
2017-01-07 09:00:00,53.391
