,SO2
2015-01-01 01:00:00,7.0
2015-01-01 02:00:00,6.0
2015-01-01 03:00:00.005000,6.0
2015-01-01 04:00:00.010000,6.0
2015-01-01 05:00:00.015000,6.0
2015-01-01 06:00:00.020000,6.0
2015-01-01 07:00:00.025000,5.0
2015-01-01 08:00:00.030000,4.0
2015-01-01 09:00:00.035000,4.0
2015-01-01 10:00:00.040000,5.0
2015-01-01 11:00:00.045000,5.0
2015-01-01 12:00:00.050000,5.0
2015-01-01 13:00:00.055000,7.0
2015-01-01 14:00:00.060000,8.0
2015-01-01 15:00:00.065000,7.0
2015-01-01 16:00:00.070000,7.0
2015-01-01 17:00:00.075000,6.0
2015-01-01 18:00:00.080000,6.0
2015-01-01 19:00:00.085000,7.0
2015-01-01 20:00:00.090000,8.0
2015-01-01 21:00:00.095000,8.0
2015-01-01 22:00:00.100000,8.0
2015-01-01 23:00:00.105000,7.0
2015-01-02 00:00:00.110000,9.0
2015-01-02 01:00:00.115000,8.0
2015-01-02 02:00:00.120000,8.0
2015-01-02 03:00:00.125000,7.0
2015-01-02 04:00:00.130000,8.0
2015-01-02 05:00:00.135000,7.0
2015-01-02 06:00:00.140000,6.0
2015-01-02 07:00:00.145000,5.0
2015-01-02 08:00:00.150000,6.0
2015-01-02 09:00:00.155000,7.0
2015-01-02 10:00:00.160000,7.0
2015-01-02 11:00:00.165000,6.0
2015-01-02 12:00:00.170000,5.0
2015-01-02 13:00:00.175000,4.0
2015-01-02 14:00:00.180000,4.0
2015-01-02 15:00:00.185000,4.0
2015-01-02 16:00:00.190000,5.0
2015-01-02 17:00:00.195000,5.0
2015-01-02 18:00:00.200000,4.0
2015-01-02 19:00:00.205000,4.0
2015-01-02 20:00:00.210000,4.0
2015-01-02 21:00:00.215000,4.0
2015-01-02 22:00:00.220000,4.0
2015-01-02 23:00:00.225000,5.0
2015-01-03 00:00:00.230000,4.0
2015-01-03 01:00:00.235000,4.0
2015-01-03 02:00:00.240000,4.0
2015-01-03 03:00:00.245000,4.0
2015-01-03 04:00:00.250000,4.0
2015-01-03 05:00:00.255000,4.0
2015-01-03 06:00:00.260000,3.0
2015-01-03 07:00:00.265000,4.0
2015-01-03 08:00:00.270000,4.0
2015-01-03 09:00:00.275000,3.0
2015-01-03 10:00:00.280000,3.0
2015-01-03 11:00:00.285000,3.0
2015-01-03 12:00:00.290000,3.0
2015-01-03 13:00:00.295000,4.0
2015-01-03 14:00:00.300000,4.0
2015-01-03 15:00:00.305000,4.0
2015-01-03 16:00:00.310000,4.0
2015-01-03 17:00:00.315000,4.0
2015-01-03 18:00:00.320000,4.0
2015-01-03 19:00:00.325000,4.0
2015-01-03 20:00:00.330000,4.0
2015-01-03 21:00:00.335000,4.0
2015-01-03 22:00:00.340000,4.0
2015-01-03 23:00:00.345000,4.0
2015-01-04 00:00:00.350000,4.0
2015-01-04 01:00:00.355000,4.0
2015-01-04 02:00:00.360000,3.0
2015-01-04 03:00:00.365000,3.0
2015-01-04 04:00:00.370000,3.0
2015-01-04 05:00:00.375000,3.0
2015-01-04 06:00:00.380000,3.0
2015-01-04 07:00:00.385000,3.0
2015-01-04 08:00:00.390000,3.0
2015-01-04 09:00:00.395000,3.0
2015-01-04 10:00:00.400000,4.0
2015-01-04 11:00:00.405000,5.0
2015-01-04 12:00:00.410000,7.0
2015-01-04 13:00:00.415000,8.0
2015-01-04 14:00:00.420000,6.0
2015-01-04 15:00:00.425000,5.0
2015-01-04 16:00:00.430000,5.0
2015-01-04 17:00:00.435000,5.0
2015-01-04 18:00:00.440000,4.0
2015-01-04 19:00:00.445000,5.0
2015-01-04 20:00:00.450000,5.0
2015-01-04 21:00:00.455000,6.0
2015-01-04 22:00:00.460000,6.0
2015-01-04 23:00:00.465000,6.0
2015-01-05 00:00:00.470000,6.0
2015-01-05 01:00:00.475000,5.0
2015-01-05 02:00:00.480000,5.0
2015-01-05 03:00:00.485000,5.0
2015-01-05 04:00:00.490000,5.0
2015-01-05 05:00:00.495000,6.0
2015-01-05 06:00:00.500000,6.0
2015-01-05 07:00:00.505000,5.0
2015-01-05 08:00:00.510000,3.0
2015-01-05 09:00:00.515000,4.0
2015-01-05 10:00:00.520000,3.0
2015-01-05 11:00:00.525000,3.0
2015-01-05 12:00:00.530000,3.0
2015-01-05 13:00:00.535000,3.0
2015-01-05 14:00:00.540000,3.0
2015-01-05 15:00:00.545000,4.0
2015-01-05 16:00:00.550000,4.0
2015-01-05 17:00:00.555000,5.0
2015-01-05 18:00:00.560000,4.0
2015-01-05 19:00:00.565000,4.0
2015-01-05 20:00:00.570000,5.0
2015-01-05 21:00:00.575000,5.0
2015-01-05 22:00:00.580000,5.0
2015-01-05 23:00:00.585000,5.0
2015-01-06 00:00:00.590000,5.0
2015-01-06 01:00:00.595000,5.0
2015-01-06 02:00:00.600000,5.0
2015-01-06 03:00:00.605000,4.0
2015-01-06 04:00:00.610000,3.0
2015-01-06 05:00:00.615000,4.0
2015-01-06 06:00:00.620000,4.0
2015-01-06 07:00:00.625000,3.0
2015-01-06 08:00:00.630000,3.0
2015-01-06 09:00:00.635000,4.0
2015-01-06 10:00:00.640000,3.0
2015-01-06 11:00:00.645000,4.0
2015-01-06 12:00:00.650000,6.0
2015-01-06 13:00:00.655000,7.0
2015-01-06 14:00:00.660000,9.0
2015-01-06 15:00:00.665000,7.0
2015-01-06 16:00:00.670000,7.0
2015-01-06 17:00:00.675000,9.0
2015-01-06 18:00:00.680000,14.0
2015-01-06 19:00:00.685000,14.0
2015-01-06 20:00:00.690000,13.0
2015-01-06 21:00:00.695000,12.0
2015-01-06 22:00:00.700000,12.0
2015-01-06 23:00:00.705000,16.0
2015-01-07 00:00:00.710000,27.0
2015-01-07 01:00:00.715000,24.0
2015-01-07 02:00:00.720000,30.0
2015-01-07 03:00:00.725000,31.0
2015-01-07 04:00:00.730000,27.0
2015-01-07 05:00:00.735000,31.0
2015-01-07 06:00:00.740000,35.0
2015-01-07 07:00:00.745000,43.0
2015-01-07 08:00:00.750000,43.0
2015-01-07 09:00:00.755000,40.0
2015-01-07 10:00:00.760000,39.0
2015-01-07 11:00:00.765000,38.0
2015-01-07 12:00:00.770000,34.0
2015-01-07 13:00:00.775000,25.0
2015-01-07 14:00:00.780000,19.0
2015-01-07 15:00:00.785000,14.0
2015-01-07 16:00:00.790000,13.0
2015-01-07 17:00:00.795000,16.0
2015-01-07 18:00:00.800000,15.0
2015-01-07 19:00:00.805000,14.0
2015-01-07 20:00:00.810000,14.0
2015-01-07 21:00:00.815000,12.0
2015-01-07 22:00:00.820000,11.0
2015-01-07 23:00:00.825000,10.0
2015-01-08 00:00:00.830000,11.0
2015-01-08 01:00:00.835000,11.0
2015-01-08 02:00:00.840000,11.0
2015-01-08 03:00:00.845000,11.0
2015-01-08 04:00:00.850000,11.0
2015-01-08 05:00:00.855000,11.0
2015-01-08 06:00:00.860000,13.0
2015-01-08 07:00:00.865000,12.0
2015-01-08 08:00:00.870000,14.0
2015-01-08 09:00:00.875000,15.0
2015-01-08 10:00:00.880000,17.0
2015-01-08 11:00:00.885000,20.0
2015-01-08 12:00:00.890000,23.0
2015-01-08 13:00:00.895000,21.0
2015-01-08 14:00:00.900000,18.0
2015-01-08 15:00:00.905000,17.0
2015-01-08 16:00:00.910000,15.0
2015-01-08 17:00:00.915000,17.0
2015-01-08 18:00:00.920000,17.0
2015-01-08 19:00:00.925000,17.0
2015-01-08 20:00:00.930000,15.0
2015-01-08 21:00:00.935000,13.0
2015-01-08 22:00:00.940000,12.0
2015-01-08 23:00:00.945000,10.0
2015-01-09 00:00:00.950000,8.0
2015-01-09 01:00:00.955000,7.0
2015-01-09 02:00:00.960000,7.0
2015-01-09 03:00:00.965000,7.0
2015-01-09 04:00:00.970000,7.0
2015-01-09 05:00:00.975000,7.0
2015-01-09 06:00:00.980000,7.0
2015-01-09 07:00:00.985000,6.0
2015-01-09 08:00:00.990000,6.0
2015-01-09 09:00:00.995000,7.0
2015-01-09 10:00:01,7.0
2015-01-09 11:00:01.005000,8.0
2015-01-09 12:00:01.010000,13.0
2015-01-09 13:00:01.015000,8.0
2015-01-09 14:00:01.020000,7.0
2015-01-09 15:00:01.025000,7.0
2015-01-09 16:00:01.030000,7.0
2015-01-09 17:00:01.035000,6.0
2015-01-09 18:00:01.040000,5.0
2015-01-09 19:00:01.045000,5.0
2015-01-09 20:00:01.050000,5.0
2015-01-09 21:00:01.055000,5.0
2015-01-09 22:00:01.060000,5.0
2015-01-09 23:00:01.065000,7.0
2015-01-10 00:00:01.070000,7.0
2015-01-10 01:00:01.075000,6.0
2015-01-10 02:00:01.080000,6.0
2015-01-10 03:00:01.085000,7.0
2015-01-10 04:00:01.090000,6.0
2015-01-10 05:00:01.095000,6.0
2015-01-10 06:00:01.100000,6.0
2015-01-10 07:00:01.105000,6.0
2015-01-10 08:00:01.110000,7.0
2015-01-10 09:00:01.115000,7.0
2015-01-10 10:00:01.120000,7.0
2015-01-10 11:00:01.125000,6.0
2015-01-10 12:00:01.130000,7.0
2015-01-10 13:00:01.135000,6.0
2015-01-10 14:00:01.140000,7.0
2015-01-10 15:00:01.145000,7.0
2015-01-10 16:00:01.150000,7.0
2015-01-10 17:00:01.155000,6.0
2015-01-10 18:00:01.160000,6.0
2015-01-10 19:00:01.165000,6.0
2015-01-10 20:00:01.170000,6.0
2015-01-10 21:00:01.175000,5.0
2015-01-10 22:00:01.180000,5.0
2015-01-10 23:00:01.185000,5.0
2015-01-11 00:00:01.190000,5.0
2015-01-11 01:00:01.195000,5.0
2015-01-11 02:00:01.200000,5.0
2015-01-11 03:00:01.205000,5.0
2015-01-11 04:00:01.210000,5.0
2015-01-11 05:00:01.215000,5.0
2015-01-11 06:00:01.220000,5.0
2015-01-11 07:00:01.225000,5.0
2015-01-11 08:00:01.230000,5.0
2015-01-11 09:00:01.235000,5.0
2015-01-11 10:00:01.240000,5.0
2015-01-11 11:00:01.245000,5.0
2015-01-11 12:00:01.250000,5.0
2015-01-11 13:00:01.255000,5.0
2015-01-11 14:00:01.260000,5.0
2015-01-11 15:00:01.265000,5.0
2015-01-11 16:00:01.270000,5.0
2015-01-11 17:00:01.275000,5.0
2015-01-11 18:00:01.280000,5.0
2015-01-11 19:00:01.285000,5.0
2015-01-11 20:00:01.290000,5.0
2015-01-11 21:00:01.295000,6.0
2015-01-11 22:00:01.300000,6.0
2015-01-11 23:00:01.305000,5.0
2015-01-12 00:00:01.310000,5.0
2015-01-12 01:00:01.315000,5.0
2015-01-12 02:00:01.320000,5.0
2015-01-12 03:00:01.325000,6.0
2015-01-12 04:00:01.330000,5.0
2015-01-12 05:00:01.335000,5.0
2015-01-12 06:00:01.340000,5.0
2015-01-12 07:00:01.345000,6.0
2015-01-12 08:00:01.350000,6.0
2015-01-12 09:00:01.355000,6.0
2015-01-12 10:00:01.360000,6.0
2015-01-12 11:00:01.365000,6.0
2015-01-12 12:00:01.370000,7.0
2015-01-12 13:00:01.375000,7.0
2015-01-12 14:00:01.380000,7.0
2015-01-12 15:00:01.385000,7.0
2015-01-12 16:00:01.390000,7.0
2015-01-12 17:00:01.395000,7.0
2015-01-12 18:00:01.400000,7.0
2015-01-12 19:00:01.405000,7.0
2015-01-12 20:00:01.410000,6.0
