,CO
2015-01-01 01:00:00,0.563
2015-01-01 02:00:00,1.13248
2015-01-01 03:00:00.005000,1.07052
2015-01-01 04:00:00.010000,1.0306
2015-01-01 05:00:00.015000,0.970092
2015-01-01 06:00:00.020000,0.876063
2015-01-01 07:00:00.025000,0.878069
2015-01-01 08:00:00.030000,0.834123
2015-01-01 09:00:00.035000,0.846482
2015-01-01 10:00:00.040000,0.871839
2015-01-01 11:00:00.045000,0.862425
2015-01-01 12:00:00.050000,0.881014
2015-01-01 13:00:00.055000,0.902635
2015-01-01 14:00:00.060000,0.903774
2015-01-01 15:00:00.065000,0.940928
2015-01-01 16:00:00.070000,0.996592
2015-01-01 17:00:00.075000,1.36727
2015-01-01 18:00:00.080000,2.20796
2015-01-01 19:00:00.085000,1.78492
2015-01-01 20:00:00.090000,1.95953
2015-01-01 21:00:00.095000,1.81257
2015-01-01 22:00:00.100000,1.56877
2015-01-01 23:00:00.105000,1.23068
2015-01-02 00:00:00.110000,1.31333
2015-01-02 01:00:00.115000,1.08193
2015-01-02 02:00:00.120000,1.17281
2015-01-02 03:00:00.125000,1.28681
2015-01-02 04:00:00.130000,1.37605
2015-01-02 05:00:00.135000,0.922197
2015-01-02 06:00:00.140000,1.0713
2015-01-02 07:00:00.145000,1.31119
2015-01-02 08:00:00.150000,1.29794
2015-01-02 09:00:00.155000,1.10224
2015-01-02 10:00:00.160000,1.14832
2015-01-02 11:00:00.165000,1.01404
2015-01-02 12:00:00.170000,1.01873
2015-01-02 13:00:00.175000,1.12307
2015-01-02 14:00:00.180000,1.22545
2015-01-02 15:00:00.185000,1.17779
2015-01-02 16:00:00.190000,0.91866
2015-01-02 17:00:00.195000,0.91022
2015-01-02 18:00:00.200000,0.884415
2015-01-02 19:00:00.205000,0.910871
2015-01-02 20:00:00.210000,0.86705
2015-01-02 21:00:00.215000,0.844958
2015-01-02 22:00:00.220000,0.811233
2015-01-02 23:00:00.225000,0.759168
2015-01-03 00:00:00.230000,0.737732
2015-01-03 01:00:00.235000,0.710729
2015-01-03 02:00:00.240000,0.674627
2015-01-03 03:00:00.245000,0.67356
2015-01-03 04:00:00.250000,0.662661
2015-01-03 05:00:00.255000,0.662677
2015-01-03 06:00:00.260000,0.664716
2015-01-03 07:00:00.265000,0.68522
2015-01-03 08:00:00.270000,0.704012
2015-01-03 09:00:00.275000,0.73603
2015-01-03 10:00:00.280000,0.772572
2015-01-03 11:00:00.285000,0.853469
2015-01-03 12:00:00.290000,0.982107
2015-01-03 13:00:00.295000,0.951287
2015-01-03 14:00:00.300000,1.01312
2015-01-03 15:00:00.305000,1.17249
2015-01-03 16:00:00.310000,1.1656
2015-01-03 17:00:00.315000,1.30221
2015-01-03 18:00:00.320000,1.02108
2015-01-03 19:00:00.325000,0.880458
2015-01-03 20:00:00.330000,0.897233
2015-01-03 21:00:00.335000,0.988253
2015-01-03 22:00:00.340000,0.968474
2015-01-03 23:00:00.345000,0.81868
2015-01-04 00:00:00.350000,0.740726
2015-01-04 01:00:00.355000,0.754117
2015-01-04 02:00:00.360000,0.762582
2015-01-04 03:00:00.365000,0.738836
2015-01-04 04:00:00.370000,0.716879
2015-01-04 05:00:00.375000,0.706562
2015-01-04 06:00:00.380000,0.711358
2015-01-04 07:00:00.385000,0.699319
2015-01-04 08:00:00.390000,0.713771
2015-01-04 09:00:00.395000,0.777967
2015-01-04 10:00:00.400000,0.766543
2015-01-04 11:00:00.405000,0.74956
2015-01-04 12:00:00.410000,0.768925
2015-01-04 13:00:00.415000,0.787365
2015-01-04 14:00:00.420000,0.772702
2015-01-04 15:00:00.425000,0.772585
2015-01-04 16:00:00.430000,0.779947
2015-01-04 17:00:00.435000,0.90977
2015-01-04 18:00:00.440000,0.891214
2015-01-04 19:00:00.445000,0.894538
2015-01-04 20:00:00.450000,0.856258
2015-01-04 21:00:00.455000,0.834819
2015-01-04 22:00:00.460000,0.796117
2015-01-04 23:00:00.465000,0.738325
2015-01-05 00:00:00.470000,0.72293
2015-01-05 01:00:00.475000,0.701852
2015-01-05 02:00:00.480000,0.685689
2015-01-05 03:00:00.485000,0.692776
2015-01-05 04:00:00.490000,0.673483
2015-01-05 05:00:00.495000,0.694744
2015-01-05 06:00:00.500000,0.776019
2015-01-05 07:00:00.505000,0.985745
2015-01-05 08:00:00.510000,1.06789
2015-01-05 09:00:00.515000,1.0681
2015-01-05 10:00:00.520000,1.07991
2015-01-05 11:00:00.525000,1.02596
2015-01-05 12:00:00.530000,1.0769
2015-01-05 13:00:00.535000,1.15231
2015-01-05 14:00:00.540000,1.21927
2015-01-05 15:00:00.545000,1.32918
2015-01-05 16:00:00.550000,1.28008
2015-01-05 17:00:00.555000,1.24227
2015-01-05 18:00:00.560000,1.24782
2015-01-05 19:00:00.565000,1.23041
2015-01-05 20:00:00.570000,1.15306
2015-01-05 21:00:00.575000,1.0048
2015-01-05 22:00:00.580000,0.922929
2015-01-05 23:00:00.585000,0.886807
2015-01-06 00:00:00.590000,0.777611
2015-01-06 01:00:00.595000,0.794944
2015-01-06 02:00:00.600000,0.727574
2015-01-06 03:00:00.605000,0.745295
2015-01-06 04:00:00.610000,0.783064
2015-01-06 05:00:00.615000,0.795024
2015-01-06 06:00:00.620000,0.771443
2015-01-06 07:00:00.625000,0.753666
2015-01-06 08:00:00.630000,0.757699
2015-01-06 09:00:00.635000,0.754906
2015-01-06 10:00:00.640000,0.851226
2015-01-06 11:00:00.645000,0.896671
2015-01-06 12:00:00.650000,0.829899
2015-01-06 13:00:00.655000,1.0228
2015-01-06 14:00:00.660000,0.980402
2015-01-06 15:00:00.665000,1.00713
2015-01-06 16:00:00.670000,1.04033
2015-01-06 17:00:00.675000,1.41596
2015-01-06 18:00:00.680000,1.3663
2015-01-06 19:00:00.685000,1.27467
2015-01-06 20:00:00.690000,1.41192
2015-01-06 21:00:00.695000,1.39701
2015-01-06 22:00:00.700000,1.22028
2015-01-06 23:00:00.705000,1.14445
2015-01-07 00:00:00.710000,1.09258
2015-01-07 01:00:00.715000,1.06032
2015-01-07 02:00:00.720000,1.02429
2015-01-07 03:00:00.725000,1.03076
2015-01-07 04:00:00.730000,0.985576
2015-01-07 05:00:00.735000,1.06884
2015-01-07 06:00:00.740000,1.30718
2015-01-07 07:00:00.745000,1.53296
2015-01-07 08:00:00.750000,1.67577
2015-01-07 09:00:00.755000,1.51786
2015-01-07 10:00:00.760000,1.60806
2015-01-07 11:00:00.765000,1.84516
2015-01-07 12:00:00.770000,1.33116
2015-01-07 13:00:00.775000,1.00171
2015-01-07 14:00:00.780000,1.04468
2015-01-07 15:00:00.785000,1.11246
2015-01-07 16:00:00.790000,1.33731
2015-01-07 17:00:00.795000,1.29797
2015-01-07 18:00:00.800000,1.28419
2015-01-07 19:00:00.805000,1.28992
2015-01-07 20:00:00.810000,1.22102
2015-01-07 21:00:00.815000,1.25092
2015-01-07 22:00:00.820000,1.00093
2015-01-07 23:00:00.825000,0.831406
2015-01-08 00:00:00.830000,0.721416
2015-01-08 01:00:00.835000,0.678752
2015-01-08 02:00:00.840000,0.64223
2015-01-08 03:00:00.845000,0.592575
2015-01-08 04:00:00.850000,0.62768
2015-01-08 05:00:00.855000,0.652744
2015-01-08 06:00:00.860000,0.916723
2015-01-08 07:00:00.865000,1.32411
2015-01-08 08:00:00.870000,1.41112
2015-01-08 09:00:00.875000,1.19074
2015-01-08 10:00:00.880000,1.08144
2015-01-08 11:00:00.885000,1.08926
2015-01-08 12:00:00.890000,0.926359
2015-01-08 13:00:00.895000,0.904152
2015-01-08 14:00:00.900000,0.869291
2015-01-08 15:00:00.905000,0.92059
2015-01-08 16:00:00.910000,0.996911
2015-01-08 17:00:00.915000,1.2303
2015-01-08 18:00:00.920000,1.35398
2015-01-08 19:00:00.925000,1.22944
2015-01-08 20:00:00.930000,1.1602
2015-01-08 21:00:00.935000,1.05005
2015-01-08 22:00:00.940000,0.856104
2015-01-08 23:00:00.945000,0.543386
2015-01-09 00:00:00.950000,0.509355
2015-01-09 01:00:00.955000,0.466745
2015-01-09 02:00:00.960000,0.393078
2015-01-09 03:00:00.965000,0.341077
2015-01-09 04:00:00.970000,0.298959
2015-01-09 05:00:00.975000,0.28383
2015-01-09 06:00:00.980000,0.342671
