,PM25
2017-01-01 01:00:00,168.81
2017-01-01 02:00:00,104.097
2017-01-01 03:00:00,70.2537
2017-01-01 04:00:00,69.3456
2017-01-01 05:00:00,62.673
2017-01-01 06:00:00,62.708
2017-01-01 07:00:00,52.3724
2017-01-01 08:00:00,44.9037
2017-01-01 09:00:00,46.4531
2017-01-01 10:00:00,49.9244
2017-01-01 11:00:00,32.2415
2017-01-01 12:00:00,28.979
2017-01-01 13:00:00,23.6741
2017-01-01 14:00:00,25.7073
2017-01-01 15:00:00,34.9351
2017-01-01 16:00:00,46.6344
2017-01-01 17:00:00,57.5401
2017-01-01 18:00:00,61.7339
2017-01-01 19:00:00,69.722
2017-01-01 20:00:00,62.9371
2017-01-01 21:00:00,72.9976
2017-01-01 22:00:00,78.9542
2017-01-01 23:00:00,87.2724
2017-01-02 00:00:00,99.9007
2017-01-02 01:00:00,76.5936
2017-01-02 02:00:00,72.9536
2017-01-02 03:00:00,47.597
2017-01-02 04:00:00,27.1268
2017-01-02 05:00:00,23.0085
2017-01-02 06:00:00,29.5958
2017-01-02 07:00:00,31.9423
2017-01-02 08:00:00,31.1124
2017-01-02 09:00:00,27.7096
2017-01-02 10:00:00,18.2913
2017-01-02 11:00:00,24.4841
2017-01-02 12:00:00,19.8585
2017-01-02 13:00:00,21.7455
2017-01-02 14:00:00,23.9687
2017-01-02 15:00:00,25.5702
2017-01-02 16:00:00,23.4186
2017-01-02 17:00:00,26.9927
2017-01-02 18:00:00,21.1368
2017-01-02 19:00:00,22.5458
2017-01-02 20:00:00,23.7915
2017-01-02 21:00:00,23.1333
2017-01-02 22:00:00,27.2204
2017-01-02 23:00:00,24.516
2017-01-03 00:00:00,13.1718
2017-01-03 01:00:00,15.288
2017-01-03 02:00:00,11.3675
2017-01-03 03:00:00,8.96291
2017-01-03 04:00:00,10.5896
2017-01-03 05:00:00,11.8725
2017-01-03 06:00:00,11.9041
2017-01-03 07:00:00,16.5246
2017-01-03 08:00:00,9.90377
2017-01-03 09:00:00,8.33404
2017-01-03 10:00:00,11.5229
2017-01-03 11:00:00,9.13296
2017-01-03 12:00:00,11.1636
2017-01-03 13:00:00,5.36441
2017-01-03 14:00:00,9.06624
2017-01-03 15:00:00,12.2195
2017-01-03 16:00:00,8.25281
2017-01-03 17:00:00,9.74455
2017-01-03 18:00:00,6.92984
2017-01-03 19:00:00,9.00229
2017-01-03 20:00:00,10.1106
2017-01-03 21:00:00,11.6896
2017-01-03 22:00:00,10.0417
2017-01-03 23:00:00,5.91923
2017-01-04 00:00:00,7.01939
2017-01-04 01:00:00,4.09536
2017-01-04 02:00:00,2.77786
2017-01-04 03:00:00,4.41916
2017-01-04 04:00:00,3.23255
2017-01-04 05:00:00,3.47776
2017-01-04 06:00:00,4.50137
2017-01-04 07:00:00,5.36585
2017-01-04 08:00:00,5.24408
2017-01-04 09:00:00,5.83692
2017-01-04 10:00:00,8.33941
2017-01-04 11:00:00,6.49352
2017-01-04 12:00:00,6.56629
2017-01-04 13:00:00,5.32064
2017-01-04 14:00:00,3.95686
2017-01-04 15:00:00,6.6728
2017-01-04 16:00:00,5.21196
2017-01-04 17:00:00,11.372
2017-01-04 18:00:00,11.3614
2017-01-04 19:00:00,11.5757
2017-01-04 20:00:00,8.21599
2017-01-04 21:00:00,6.73202
2017-01-04 22:00:00,8.03131
2017-01-04 23:00:00,9.00466
2017-01-05 00:00:00,4.29882
2017-01-05 01:00:00,3.43011
2017-01-05 02:00:00,2.79387
2017-01-05 03:00:00,2.31402
2017-01-05 04:00:00,4.30517
