,MaxTemp,MinTemp,AvgTmp,Precip,WindSpeed,Humidity,Pressure
2013-01-01,6.5,-2.3,3.2,0.0,3.8,72.5,994.5
2013-01-02,6.7,3.0,4.6,0.9,4.0,77.6,1003.4
2013-01-03,8.8,3.6,5.9,1.7,6.1,81.3,1008.3
2013-01-04,9.3,6.2,7.4,7.1,6.6,79.4,1007.3
2013-01-05,9.1,2.8,5.7,1.0,4.3,84.8,1007.6
2013-01-06,4.9,1.2,2.7,7.1,2.5,94.9,1006.6
2013-01-07,4.7,-3.7,-0.9,0.0,2.0,85.1,1012.3
2013-01-08,0.4,-4.1,-0.5,5.4,3.4,95.3,1008.2
2013-01-09,4.8,0.4,3.5,3.2,2.9,98.9,1003.6
2013-01-10,5.1,2.6,3.7,1.3,6.0,85.4,990.6
2013-01-11,3.1,-2.1,-1.2,0.4,4.0,92.0,994.3
2013-01-12,-1.6,-3.9,-2.9,3.7,4.1,90.9,999.9
2013-01-13,-2.9,-5.1,-4.5,0.7,2.8,91.3,1004.5
2013-01-14,-4.0,-7.3,-6.0,1.1,3.0,89.9,1001.7
2013-01-15,-2.9,-12.9,-7.7,0.1,1.3,96.3,996.5
2013-01-16,-2.6,-3.6,-3.3,0.0,1.9,97.8,993.4
2013-01-17,-3.0,-6.0,-4.3,0.0,3.4,92.6,996.8
2013-01-18,-5.2,-7.1,-6.0,0.5,2.9,89.9,997.5
2013-01-19,-5.5,-8.1,-7.6,0.0,2.0,85.6,989.7
2013-01-20,-5.2,-8.1,-6.5,1.3,1.9,83.6,987.8
2013-01-21,-5.3,-8.3,-7.0,4.8,2.4,91.3,987.3
2013-01-22,-7.4,-14.5,-9.4,0.0,1.6,89.8,991.8
2013-01-23,-6.5,-9.6,-7.6,0.0,1.4,86.4,995.0
2013-01-24,-4.9,-7.0,-6.2,0.3,1.4,88.3,997.9
2013-01-25,-4.8,-8.4,-7.1,0.1,1.8,88.4,1005.5
2013-01-26,-5.7,-10.0,-7.2,0.0,4.4,83.5,1002.7
2013-01-27,-1.1,-14.1,-6.5,1.4,2.3,90.6,995.9
2013-01-28,3.6,-2.8,0.8,0.1,2.5,92.4,997.2
2013-01-29,4.9,-4.5,2.5,4.0,3.9,83.0,996.2
2013-01-30,11.1,2.0,7.2,5.0,4.8,85.4,991.0
2013-01-31,10.9,5.7,7.0,0.4,8.5,64.5,992.1
2013-02-01,8.0,4.7,5.9,2.1,5.6,71.0,987.7
2013-02-02,5.6,1.8,3.1,1.4,4.5,91.6,978.7
2013-02-03,2.9,-0.9,0.4,0.9,5.1,79.3,994.8
2013-02-04,5.4,0.1,3.0,1.6,4.8,86.4,990.3
2013-02-05,7.9,1.7,4.0,0.1,4.9,77.4,986.6
2013-02-06,3.5,-2.2,0.2,0.3,2.3,84.6,985.1
2013-02-07,2.0,-6.5,-1.8,0.0,1.8,92.5,990.4
2013-02-08,1.2,-2.5,-1.4,0.0,1.9,86.5,995.8
2013-02-09,0.2,-7.7,-2.8,0.0,1.1,82.5,1001.3
2013-02-10,-0.7,-4.1,-2.0,0.2,1.1,80.9,1001.6
2013-02-11,-0.5,-2.7,-1.6,0.0,3.3,81.8,997.1
2013-02-12,-0.8,-2.4,-1.7,5.3,3.3,85.5,997.4
2013-02-13,0.0,-2.7,-1.5,0.6,1.9,96.3,1005.5
2013-02-14,0.2,-2.0,-0.8,0.1,1.8,95.3,1009.5
2013-02-15,1.7,-0.3,0.8,0.1,1.6,98.5,1004.6
2013-02-16,1.5,0.4,0.9,0.4,1.0,99.0,1007.9
2013-02-17,1.0,-0.4,0.2,0.1,2.1,90.9,1009.8
2013-02-18,-0.4,-2.3,-1.6,0.5,2.0,86.6,1007.0
2013-02-19,0.8,-1.5,-0.3,4.2,4.3,95.3,995.6
2013-02-20,-0.1,-3.5,-2.1,1.0,3.0,92.4,1000.5
2013-02-21,-3.2,-5.7,-4.9,0.2,2.0,87.1,1005.3
2013-02-22,-2.1,-6.3,-4.2,2.6,3.3,88.4,1002.2
2013-02-23,1.0,-3.5,-1.0,5.1,2.9,96.0,996.7
2013-02-24,4.9,0.8,2.4,3.2,3.0,93.6,998.1
2013-02-25,3.7,1.3,2.4,0.4,2.5,91.3,1006.0
2013-02-26,3.2,0.7,1.3,0.2,1.9,98.6,1013.2
