,WindDir,WindSpeed,Temp,Humidity,Pressure,Precip
2021-01-01 00:00:00,125,4,-2.0,97,993.6,0.0
2021-01-01 01:00:00,129,5,-2.0,97,993.7,0.0
2021-01-01 02:00:00,126,5,-2.1,97,993.7,0.0
2021-01-01 03:00:00,122,5,-2.0,97,993.6,0.0
2021-01-01 04:00:00,122,5,-2.1,97,993.4,0.0
2021-01-01 05:00:00,126,5,-2.2,97,993.4,0.0
2021-01-01 06:00:00,119,5,-1.9,97,993.6,0.0
2021-01-01 07:00:00,143,6,-1.8,97,993.7,0.0
2021-01-01 08:00:00,150,5,-1.7,97,994.0,0.0
2021-01-01 09:00:00,149,6,-1.3,98,994.2,0.0
2021-01-01 10:00:00,137,5,-1.0,98,994.5,0.0
2021-01-01 11:00:00,147,5,-0.6,98,994.4,0.0
2021-01-01 12:00:00,148,5,-0.5,98,994.0,0.0
2021-01-01 13:00:00,137,4,-0.5,98,994.0,0.0
2021-01-01 14:00:00,132,2,-0.4,98,994.7,0.0
2021-01-01 15:00:00,120,2,-0.3,98,995.1,0.0
2021-01-01 16:00:00,96,2,-0.4,97,995.3,0.0
2021-01-01 17:00:00,131,1,-0.7,97,995.6,0.0
2021-01-01 18:00:00,132,2,-1.2,97,996.1,0.0
2021-01-01 19:00:00,110,1,-1.1,97,996.4,0.0
2021-01-01 20:00:00,106,1,-0.8,98,997.0,0.0
2021-01-01 21:00:00,144,1,-0.7,98,997.6,0.0
2021-01-01 22:00:00,162,1,-0.7,98,998.0,0.0
2021-01-01 23:00:00,107,1,-1.0,98,998.2,0.0
2021-01-02 00:00:00,122,1,-0.9,98,998.4,0.0
2021-01-02 01:00:00,183,1,-1.0,98,998.8,0.0
2021-01-02 02:00:00,155,2,-1.5,98,999.2,0.0
2021-01-02 03:00:00,57,1,-1.6,98,999.1,0.0
2021-01-02 04:00:00,77,1,-1.6,98,999.0,0.0
2021-01-02 05:00:00,130,1,-2.4,97,999.3,0.0
2021-01-02 06:00:00,132,2,-2.8,97,999.7,0.0
2021-01-02 07:00:00,112,1,-3.4,96,1000.1,0.0
2021-01-02 08:00:00,116,2,-2.3,97,1000.4,0.0
2021-01-02 09:00:00,106,2,-1.8,97,1000.9,0.0
2021-01-02 10:00:00,196,1,-1.0,98,1001.4,0.0
2021-01-02 11:00:00,57,1,0.0,97,1000.5,0.0
2021-01-02 12:00:00,22,2,0.6,97,1000.3,0.0
2021-01-02 13:00:00,63,1,1.1,96,1000.5,0.0
2021-01-02 14:00:00,46,1,1.3,94,1000.6,0.0
2021-01-02 15:00:00,0,0,1.2,93,1000.7,0.0
2021-01-02 16:00:00,22,1,1.1,92,1000.9,0.0
2021-01-02 17:00:00,24,1,0.9,93,1000.8,0.0
2021-01-02 18:00:00,51,1,1.0,93,1000.7,0.0
2021-01-02 19:00:00,113,1,1.1,93,1000.8,0.0
2021-01-02 20:00:00,275,1,0.8,94,1000.8,0.0
2021-01-02 21:00:00,16,1,1.1,95,1000.9,0.0
2021-01-02 22:00:00,52,1,1.2,95,1000.7,0.0
2021-01-02 23:00:00,59,1,1.1,95,1000.7,0.0
2021-01-03 00:00:00,46,2,1.1,95,1000.3,0.0
2021-01-03 01:00:00,82,2,1.2,95,1000.3,0.0
2021-01-03 02:00:00,69,2,1.2,95,999.9,0.0
2021-01-03 03:00:00,63,1,1.2,96,999.4,0.0
2021-01-03 04:00:00,86,2,1.4,96,999.2,0.0
2021-01-03 05:00:00,49,2,1.5,96,998.4,0.0
2021-01-03 06:00:00,99,2,1.7,96,998.3,1.9
2021-01-03 07:00:00,89,3,2.1,96,998.4,0.0
2021-01-03 08:00:00,109,1,1.9,96,998.7,0.0
2021-01-03 09:00:00,344,1,2.0,96,998.8,0.0
2021-01-03 10:00:00,57,2,2.4,97,998.4,0.0
2021-01-03 11:00:00,93,5,3.0,96,998.1,0.0
